"source_id","captured_at","original_collection_id","suggested_collection_id","suggested_collection_name","proposed_action","content_evidence","confidence","requires_owner_confirmation","source_url"
"9884ddcb-9f17-410d-8c40-fd930f6b92f5","2026-06-21 14:30:58.773869+00","","2bbf3989-268f-40dd-8c5c-31c9d5eb34bc","狗狗","owner_review_move_to_existing_collection","content mentions pet or dog care","high","true","https://www.threads.net/@sty918005/post/DZ1d-etj5iS?xmt=AQG0BiwN0fHUKsOQpFFgSIMF2I1m_6OesqsEhiMmsSdKZYv_wqfU6WTg14duFy-jFMyu8vmaiw&slof=1"
"091480ce-50f9-4f97-9200-fddd3006b22f","2026-06-23 08:17:11.549857+00","","a9f086bc-5041-4157-9ae3-bfd73ccc9ae6","好用套件","owner_review_move_to_existing_collection","content mentions a developer utility","high","true","https://www.threads.net/@s_h_u_ooo/post/DZ4yeVtjo3S?xmt=AQG0bPOHHQ7i0FnabM0tlYL25n-mnEGpZXubbEzaWUkag0pSpowUho65oSocQcoQdmbVcAhB&slof=1"
"ced0a6bd-cf39-49f8-8d25-a9f7566f2919","2026-06-23 08:49:17.513062+00","","34ab6683-d000-47e3-a8f2-a634d74e1763","帳號監控","owner_review_move_to_existing_collection","content mentions account or device security","medium","true","https://www.threads.net/@aiposthub/post/DZ6xYXrgVTa?xmt=AQG01DOZ-U-s9BxpD5Dh8Kp4EqdbgsWS4v23kfgyUJdTvK0wpGfMEBqpVTui7VuCNBBdJwoDtQ&slof=1"
"8a78681d-d08d-4b1e-865f-fe09337126cf","2026-06-24 08:45:40.861271+00","","6cbc331a-060a-4b1b-96ef-8ea440315316","教學","owner_review_move_to_existing_collection","content mentions learning or instruction","medium","true","https://www.threads.net/@kufutw/post/DZ88fvtINW9?xmt=AQG0g3WGrC-PDPXd-isOyq8ckoJ9S_aSvGKkq-tL3v2uLaO2TnU8Ng5_moT4AMEJbt9nf4ph&slof=1"
"1fd001cc-fe57-4396-a4d4-6e0d9ff7fddb","2026-06-24 09:09:03.919073+00","","57d4a857-193c-40d6-9779-bcc3b617bbfe","投資","keep_inbox_low_confidence_candidate","content mentions market or investment analysis","low","true","https://www.threads.net/@liesl_24417/post/DZ85Q3gCmo2?xmt=AQG0HWofFBQMj8jtd4aACJ1wElyMo6wCjhYVX3nntNi5oU-EK08xf7bsfa3TF4rHqoRUTkpE&slof=1"
"eb32361b-91f6-44d6-ae7e-b99f474c48a5","2026-06-25 04:41:59.507591+00","","34ab6683-d000-47e3-a8f2-a634d74e1763","帳號監控","owner_review_move_to_existing_collection","content mentions account or device security","high","true","https://www.threads.net/@gg08.23/post/DZ79pNPieIm?xmt=AQG0uzpXDFmk_XHA6JQHWhTps6f06B_-P9Tp-KmACErBkBQzmqiCBWDCPuUYXd0hOZfVzIxf&slof=1"
"6540e5b7-bc8a-4c9f-9812-463bcd356d7f","2026-06-25 04:48:08.960804+00","","57ccf24f-4d3e-45bd-99eb-63de93c1e468","UI skill","keep_inbox_low_confidence_candidate","content mentions UI, UX, or product-flow design","low","true","https://www.threads.net/@magicmonx/post/DZlzKC1D9Pm?xmt=AQG0YVHQScKCai5uOpaxd_xEsUj2y_OfLYsDIrxg8VquC5kFng4Dk1lQgs3mO0DyPz3GTNNgIQ&slof=1"
"ec0fbfe2-6161-42e3-973c-e9afe78b1a9b","2026-06-25 10:30:05.610819+00","","a9f086bc-5041-4157-9ae3-bfd73ccc9ae6","好用套件","owner_review_move_to_existing_collection","content mentions a developer utility","medium","true","https://www.threads.net/@dadafly.mentors/post/DaAE47Egdad?xmt=AQG0FCQWfrgjKUpnEHVuM-XJKNAhmZoB9-fsFAAlEqCzgCcrXzcjwTaRn-_88RN9aksHB5FmRg&slof=1"
"7f4ffb72-62e7-46fa-8196-615bdb10bc47","2026-06-26 02:10:01.341681+00","","76945268-b2e1-4c8e-bece-11a2000af0a6","工程師開發優化","keep_inbox_low_confidence_candidate","content mentions software engineering","low","true","https://www.threads.net/@kelly_guooo/post/DZ_W2i-E--7?xmt=AQG02vmgizf4Q942HUdpGfOyGBRRLHoyoyg84N4a6Yy7SrLFzzbpbFpyRCxmnaS59eY_Z7mfpA&slof=1"
"4874e220-ebc9-4571-bacf-88df519fb65c","2026-06-27 01:59:24.562785+00","","aef97ffe-9063-49a6-984c-f71245da76ae","好skill","owner_review_move_to_existing_collection","content mentions a reusable coding skill","medium","true","https://www.threads.net/@pan_0709/post/DaDnyofAc8z?xmt=AQG0NdIXATo5q8x_IX70rVmhHXwqc8ZRtmlgrEZUL9w97ng1HMe0NOVPeYyVgfQW616bm0Yw-A&slof=1"
"8c13f3ac-c2e7-498b-b0ea-2f7107faca76","2026-06-27 02:03:36.294503+00","","57d4a857-193c-40d6-9779-bcc3b617bbfe","投資","owner_review_move_to_existing_collection","content mentions market or investment analysis","high","true","https://www.threads.net/@ohoh_omg/post/DaDHGdEATeW?xmt=AQG0hbL2Bm3Nzh8twFw1KTSMby8jWtR8BxOsCHbWpgLeAwirtCozvwfuT4KgRXBL_x2WtIY8&slof=1"
"66458737-71fe-40e3-be9c-c03cabe9dd1d","2026-06-27 02:08:04.196328+00","","2bbf3989-268f-40dd-8c5c-31c9d5eb34bc","狗狗","owner_review_move_to_existing_collection","content mentions pet or dog care","high","true","https://www.threads.net/@peggylai_1219/post/DaC5pt9GhhF?xmt=AQG0Y5yZdt5jvS2r38m4kze0l9VnaD78C022i0V4B6ejdohv9z4XH0JSyps1P9apE3HGSv2Ciw&slof=1"
"a2d3cc54-126f-4c87-8d4d-cf8e9b55d729","2026-06-27 02:12:05.778328+00","","","","keep_inbox_no_conservative_match","no conservative content rule matched","low","true","https://www.threads.net/@jerrygrowth/post/DaDQWojGHFq?xmt=AQG0FaTz-h1_Dy_37cbhiQl__W1UvzRMuF6t6am_OYGInajgT8yE7LlKT2JPR_QkD7FZ_rCtJw&slof=1"
"fe0b501c-5188-4389-9fd9-ae30d522daf0","2026-06-27 09:38:29.759029+00","","","","keep_inbox_no_conservative_match","no conservative content rule matched","low","true","https://x.com/i/status/2070317717811540149"
"884067a7-a76a-4ccf-a84c-2e35a561bfe5","2026-07-02 05:26:55.043424+00","","6cbc331a-060a-4b1b-96ef-8ea440315316","教學","keep_inbox_low_confidence_candidate","content mentions learning or instruction","low","true","https://www.threads.net/@wpptpqwq__/post/DaFpMfTiLyZ?xmt=AQG0kfUt8x-Sr98UazLbiFpmTKaRy5N8x5c3maWC-uHr4EBnUIfWBgGl3FGhiA5KKX96S6xQIw&slof=1"
"4ad8359a-049a-4e4b-9b7e-7ae51beaba3a","2026-07-05 02:26:29.541162+00","","0dbf7c12-48f1-4d69-995f-4908be7ba4a9","副業","owner_review_move_to_existing_collection","content mentions monetization or a side business","high","true","https://www.threads.net/@9527.here/post/DaXQbKxGbVq?xmt=AQG069vWLmVyxVjPmRvBoOYv75o4uoSm50B3DjwMflGaHG86VXbOIxEXv5utNwkzIy4az4OZcg&slof=1"
"28983a5c-9a3c-4409-be3d-1056afe27efb","2026-07-05 15:19:47.628967+00","","cb934189-6dd4-4448-a423-1f3d8b5730ec","agent工具","owner_review_move_to_existing_collection","content mentions agents, MCP, or automation","medium","true","https://x.com/i/status/2073686821934932000"
"ef4018a9-035c-4aa3-b68d-7edfcb00393d","2026-07-12 05:36:18.94773+00","","76945268-b2e1-4c8e-bece-11a2000af0a6","工程師開發優化","keep_inbox_low_confidence_candidate","content mentions software engineering","low","true","https://www.threads.net/share/BAUuYV-FSb/"
"999e93ee-d6e8-4d4d-9cbe-2e92f3e00361","2026-07-13 00:59:45.19368+00","","57ccf24f-4d3e-45bd-99eb-63de93c1e468","UI skill","owner_review_move_to_existing_collection","content mentions UI, UX, or product-flow design","medium","true","https://www.threads.net/share/BAKq5KATwd/"
"bb874acf-40d5-4f93-afd8-e2295aefe5a7","2026-07-13 01:00:40.161437+00","","","","keep_inbox_no_conservative_match","no conservative content rule matched","low","true","https://www.threads.net/share/BAXeUmcOBA/"
"63ab668f-ca34-471e-b6e7-cc42e03d14dd","2026-07-14 01:09:35.792105+00","","76945268-b2e1-4c8e-bece-11a2000af0a6","工程師開發優化","keep_inbox_low_confidence_candidate","content mentions software engineering","low","true","https://www.threads.net/share/BBTgNayVMK/"
"54b9892f-dfcc-4bef-b385-48db2d20e534","2026-07-14 04:49:24.62457+00","","dfb65351-5d97-4cd3-b0e6-65061f8b1af0","prompt","owner_review_move_to_existing_collection","content mentions reusable prompting","high","true","https://www.threads.net/share/_7PkLzXS6/"
"80c88058-3e7d-4f43-9a63-94ade27d371b","2026-07-16 16:21:39.466062+00","","57d4a857-193c-40d6-9779-bcc3b617bbfe","投資","owner_review_move_to_existing_collection","content mentions market or investment analysis","high","true","https://x.com/i/status/2077723280534851786"
"7b262d1c-2c1e-425a-a9d7-79ef5e7ae6a5","2026-07-17 15:01:43.387321+00","","","","keep_inbox_no_conservative_match","no conservative content rule matched","low","true","https://x.com/i/status/2078095389354254520"
"f4b601cc-7626-441f-829f-f40a8105026d","2026-07-19 12:35:14.119282+00","","76945268-b2e1-4c8e-bece-11a2000af0a6","工程師開發優化","owner_review_move_to_existing_collection","content mentions software engineering","medium","true","https://www.threads.net/share/_vQdW5a31/"
"a8032fc6-cc4e-4e22-925b-41ad13b5d99e","2026-07-22 14:05:47.369375+00","","a9f086bc-5041-4157-9ae3-bfd73ccc9ae6","好用套件","owner_review_move_to_existing_collection","content mentions a developer utility","medium","true","https://x.com/i/status/2079789950950601177"
"e316e3c1-69f6-4f98-9a23-a82f337929b5","2026-07-23 15:15:45.05272+00","","dfb65351-5d97-4cd3-b0e6-65061f8b1af0","prompt","owner_review_move_to_existing_collection","content mentions reusable prompting","high","true","https://www.threads.net/share/BAamzw0N5R/"
"9c55a364-2cb4-43f3-9f67-ce5f9c62b756","2026-07-26 16:32:44.631937+00","","2bbf3989-268f-40dd-8c5c-31c9d5eb34bc","狗狗","owner_review_move_to_existing_collection","content mentions pet or dog care","high","true","https://www.threads.net/share/BAGtjfCSAV/"
"27f4e5d2-8402-49d4-91c8-93f5823ba30c","2026-07-26 16:35:36.518464+00","","57ccf24f-4d3e-45bd-99eb-63de93c1e468","UI skill","owner_review_move_to_existing_collection","content mentions UI, UX, or product-flow design","medium","true","https://www.threads.net/share/BAsitrrYKM/"
"07ae4f44-69bd-4115-ae90-adf926ce2bda","2026-07-26 16:35:43.640652+00","","aef97ffe-9063-49a6-984c-f71245da76ae","好skill","keep_inbox_low_confidence_candidate","content mentions a reusable coding skill","low","true","https://www.threads.net/share/BATFnS8Ggo/"
"6548e589-3964-4719-b9f1-d0bc55e2a6b8","2026-07-27 00:54:06.492558+00","","aef97ffe-9063-49a6-984c-f71245da76ae","好skill","keep_inbox_low_confidence_candidate","content mentions a reusable coding skill","low","true","https://www.threads.net/share/BBhval0MNc/"
"a85d0c2e-0015-479c-ae24-9c7dd269a116","2026-07-27 00:54:28.210837+00","","aef97ffe-9063-49a6-984c-f71245da76ae","好skill","keep_inbox_low_confidence_candidate","content mentions a reusable coding skill","low","true","https://www.threads.net/share/_gXHV5Zql/"
"c9298aa6-4ba9-4223-b05f-6066efe4482b","2026-07-27 01:11:35.977346+00","","cb934189-6dd4-4448-a423-1f3d8b5730ec","agent工具","owner_review_move_to_existing_collection","content mentions agents, MCP, or automation","medium","true","https://www.threads.net/share/BAgxZGqQei/"
"617a91b3-12ac-4277-ae73-7cb667aee33b","2026-07-27 05:58:21.879131+00","","57ccf24f-4d3e-45bd-99eb-63de93c1e468","UI skill","keep_inbox_low_confidence_candidate","content mentions UI, UX, or product-flow design","low","true","https://www.threads.net/share/BAQ0k1qspd/"
"bf541fbb-fe55-4d14-8262-618618964741","2026-07-28 03:28:25.251969+00","","6cbc331a-060a-4b1b-96ef-8ea440315316","教學","owner_review_move_to_existing_collection","content mentions learning or instruction","medium","true","https://www.threads.net/share/_4B0vip5O/"
"dc28a3af-ed4a-4442-9bc7-fd99985bba85","2026-07-28 03:31:27.164885+00","","dfb65351-5d97-4cd3-b0e6-65061f8b1af0","prompt","owner_review_move_to_existing_collection","content mentions reusable prompting","high","true","https://www.threads.net/share/BAYbxdjgWT/"
"3f96de0c-0730-457f-8e64-13b9dd1b542e","2026-07-28 04:09:42.373135+00","","57ccf24f-4d3e-45bd-99eb-63de93c1e468","UI skill","owner_review_move_to_existing_collection","content mentions UI, UX, or product-flow design","high","true","https://github.com/alchaincyf/huashu-design"
"dd7b769f-c89c-45cd-97f3-5ad8da0f70eb","2026-07-28 11:21:07.264468+00","","dfb65351-5d97-4cd3-b0e6-65061f8b1af0","prompt","owner_review_move_to_existing_collection","content mentions reusable prompting","high","true","https://www.threads.net/share/BAYCx_7oGg/"
"d335f82b-c866-4220-bc1d-bf7f89eb83e9","2026-07-28 14:47:51.448694+00","","aef97ffe-9063-49a6-984c-f71245da76ae","好skill","keep_inbox_low_confidence_candidate","content mentions a reusable coding skill","low","true","https://www.threads.net/share/_yXY6leDv/"
"5871eded-edb4-4422-a917-70373d6a60bb","2026-07-28 16:21:08.020696+00","","2bbf3989-268f-40dd-8c5c-31c9d5eb34bc","狗狗","owner_review_move_to_existing_collection","content mentions pet or dog care","high","true","https://www.threads.net/share/BAX_KiGwhF/"
"3bd6fbf0-200e-4bf0-81cd-cf21bf0c57ae","2026-07-29 08:41:30.719312+00","","2bbf3989-268f-40dd-8c5c-31c9d5eb34bc","狗狗","owner_review_move_to_existing_collection","content mentions pet or dog care","high","true","https://www.threads.net/share/_hkU7p8Pc/"
"ebaa25e8-4cff-4745-ab02-33f882b3bdb8","2026-07-29 12:39:39.794222+00","","dfb65351-5d97-4cd3-b0e6-65061f8b1af0","prompt","owner_review_move_to_existing_collection","content mentions reusable prompting","high","true","https://www.threads.net/share/BBcWIuoDJB/"
"b9e1dcec-d3ec-400f-83d7-2c0a26211521","2026-07-30 04:14:19.988692+00","","a7bfa5b1-a5fb-4bd3-9a5b-6cc81e044b4f","codex","owner_review_move_to_existing_collection","content directly mentions Codex","medium","true","https://www.threads.net/share/BAYtQerkYM/"
"475de93f-cbfc-46a5-8ae9-5405871849fe","2026-07-30 08:58:13.606565+00","","dfb65351-5d97-4cd3-b0e6-65061f8b1af0","prompt","owner_review_move_to_existing_collection","content mentions reusable prompting","high","true","https://www.threads.net/share/BBMFKK-QXs/"
"00400f7f-f56c-4da7-9437-8f42eb5e4245","2026-07-31 01:17:31.093995+00","","a9f086bc-5041-4157-9ae3-bfd73ccc9ae6","好用套件","keep_inbox_low_confidence_candidate","content mentions a developer utility","low","true","https://x.com/i/status/2082194990592069660"
"84cbdbc8-59c2-4a91-8a19-b6994ab13547","2026-07-31 12:55:15.514864+00","","","","keep_inbox_no_conservative_match","no conservative content rule matched","low","true","https://x.com/i/status/2082819835738673261"
"06408519-dd1d-4083-8773-705d4646d753","2026-08-01 06:30:28.817289+00","","57ccf24f-4d3e-45bd-99eb-63de93c1e468","UI skill","owner_review_move_to_existing_collection","content mentions UI, UX, or product-flow design","medium","true","https://www.threads.net/share/_w6Q2rsjc/"
"a0fb026a-5b96-4704-af5f-e0e717519bb8","2026-08-01 08:16:32.261637+00","","aef97ffe-9063-49a6-984c-f71245da76ae","好skill","keep_inbox_low_confidence_candidate","content mentions a reusable coding skill","low","true","https://www.instagram.com/p/DbdM8iViTAK/?img_index=1&igsh=MTc1MHF5emFtM2s0cg=="
"a9e99e00-f042-4daf-863f-c4956e00926b","2026-08-01 12:48:32.151535+00","","57d4a857-193c-40d6-9779-bcc3b617bbfe","投資","owner_review_move_to_existing_collection","content mentions market or investment analysis","high","true","https://x.com/i/status/2083123083330859462"
"74291900-60a6-4e0c-bb76-e5252df49297","2026-08-01 13:33:24.032058+00","","","","keep_inbox_no_conservative_match","no conservative content rule matched","low","true","https://x.com/i/status/2083197430213042439"
"8064afc8-cde8-458f-a4d8-49480750c7d6","2026-08-01 17:18:16.664142+00","","a9f086bc-5041-4157-9ae3-bfd73ccc9ae6","好用套件","keep_inbox_low_confidence_candidate","content mentions a developer utility","low","true","https://www.threads.net/share/_65pOWpzT/"
"05003838-77cb-469b-84c8-a6b141116170","2026-08-01 17:37:01.791053+00","","76945268-b2e1-4c8e-bece-11a2000af0a6","工程師開發優化","keep_inbox_low_confidence_candidate","content mentions software engineering","low","true","https://www.threads.net/share/BATxXuoVDv/"
"610f8a7f-0eb2-4038-afd2-8a7ac4a5021b","2026-08-02 02:46:07.848351+00","","dfb65351-5d97-4cd3-b0e6-65061f8b1af0","prompt","owner_review_move_to_existing_collection","content mentions reusable prompting","high","true","https://www.threads.net/share/BAUHSVNCDv/"
"9d190f26-2a14-4f1e-b8a3-17c40e09a3f9","2026-08-02 03:18:32.407393+00","","2bbf3989-268f-40dd-8c5c-31c9d5eb34bc","狗狗","owner_review_move_to_existing_collection","content mentions pet or dog care","high","true","https://www.threads.net/share/BAY45uEnhE/"
"18d319c8-87d6-4797-aa2b-5e8a02ebe58d","2026-08-02 14:51:18.980547+00","","0dbf7c12-48f1-4d69-995f-4908be7ba4a9","副業","owner_review_move_to_existing_collection","content mentions monetization or a side business","medium","true","https://x.com/i/status/2083776965933441352"
"dc1c0b43-4583-4c8d-93bc-c60b8768c236","2026-08-03 00:55:12.51944+00","","a9f086bc-5041-4157-9ae3-bfd73ccc9ae6","好用套件","keep_inbox_low_confidence_candidate","content mentions a developer utility","low","true","https://www.threads.net/share/_m9Zt0K4D/"
"92cc5cd9-5f43-4479-b8b7-70fe9bfc2beb","2026-08-04 02:09:20.030699+00","","","","keep_inbox_no_conservative_match","no conservative content rule matched","low","true","https://x.com/i/status/2083873830863565138"
"223edf52-3668-47e2-911b-c9affbe45a82","2026-08-04 16:14:02.851306+00","","aef97ffe-9063-49a6-984c-f71245da76ae","好skill","keep_inbox_low_confidence_candidate","content mentions a reusable coding skill","low","true","https://www.threads.net/share/BAOOMVDImB/"
"3fb1c239-de45-4c5b-a8d7-fe9f4ae55dbc","2026-08-05 01:15:18.771872+00","","a7bfa5b1-a5fb-4bd3-9a5b-6cc81e044b4f","codex","owner_review_move_to_existing_collection","content directly mentions Codex","medium","true","https://www.threads.net/share/BAU7_euvrG/"
"4c16efca-475e-475a-bfe6-a9329533f9ea","2026-08-05 03:36:13.996213+00","","76945268-b2e1-4c8e-bece-11a2000af0a6","工程師開發優化","owner_review_move_to_existing_collection","content mentions software engineering","medium","true","https://www.threads.net/share/BAOcYjYLWw/"
"fa6de3f5-6e96-485a-a1da-69152aa77c7d","2026-08-06 10:32:53.161075+00","","2bbf3989-268f-40dd-8c5c-31c9d5eb34bc","狗狗","owner_review_move_to_existing_collection","content mentions pet or dog care","high","true","https://www.threads.net/share/_vvwixuAj/"
"ad24e732-38e3-4ecb-8ad2-79c5641711b0","2026-08-07 09:04:10.755133+00","","","","keep_inbox_no_conservative_match","no conservative content rule matched","low","true","https://www.threads.net/share/BCI3MHFtmD/"
"2a44f56f-2f16-478e-b26c-257bd81ce0ce","2026-08-09 03:25:04.709778+00","","57ccf24f-4d3e-45bd-99eb-63de93c1e468","UI skill","owner_review_move_to_existing_collection","content mentions UI, UX, or product-flow design","high","true","https://www.threads.net/share/BAY9VfUCZz/"
"fd030332-319e-40fe-8748-011d4c9cb4bb","2026-08-11 13:51:07.718873+00","","2f26f840-db76-46a8-884a-8c7515aa17ba","ai圖片+影片","owner_review_move_to_existing_collection","content mentions AI visual or video creation","medium","true","https://www.threads.net/share/BAkAdUJiYY/"
"9fe25e5d-5ef7-4e24-a8fe-ec22814fdf00","2026-08-12 01:09:23.392302+00","","a7bfa5b1-a5fb-4bd3-9a5b-6cc81e044b4f","codex","keep_inbox_low_confidence_candidate","content directly mentions Codex","low","true","https://www.threads.net/share/BAWJtA3jYR/"
"f41aaba8-11a0-42c2-ae89-382506e1d19d","2026-08-12 15:47:00.728774+00","","","","keep_inbox_no_conservative_match","no conservative content rule matched","low","true","https://www.threads.net/share/BANyYxoOf7/"
"5ed7bf3d-996c-4a23-afd2-13ca49d8b02d","2026-08-12 16:37:58.94819+00","","2bbf3989-268f-40dd-8c5c-31c9d5eb34bc","狗狗","owner_review_move_to_existing_collection","content mentions pet or dog care","high","true","https://www.threads.net/share/_ugzOaF3F/"
"af476ec0-31ad-4124-adc9-f5fea019df04","2026-08-12 16:44:49.661246+00","","dfb65351-5d97-4cd3-b0e6-65061f8b1af0","prompt","owner_review_move_to_existing_collection","content mentions reusable prompting","high","true","https://www.threads.net/share/_mFVl_NNj/"
"47cd6333-ed76-4db7-989a-b15a5157b2f1","2026-08-13 00:59:53.788019+00","","34ab6683-d000-47e3-a8f2-a634d74e1763","帳號監控","owner_review_move_to_existing_collection","content mentions account or device security","high","true","https://www.threads.net/share/BATuV46tJI/"
"01c4c96a-9455-470b-b6df-8a597e070036","2026-08-13 03:06:07.610202+00","","2f26f840-db76-46a8-884a-8c7515aa17ba","ai圖片+影片","keep_inbox_low_confidence_candidate","content mentions AI visual or video creation","low","true","https://www.threads.net/share/_0mpNubn_/"
"e3d1acaa-cf83-4cd1-9658-35c2b0674ff1","2026-08-13 06:33:13.691888+00","","0dbf7c12-48f1-4d69-995f-4908be7ba4a9","副業","owner_review_move_to_existing_collection","content mentions monetization or a side business","medium","true","https://x.com/sitinme/status/2018273187763720352?s=20"
"86948cc4-1788-4b7a-b21a-a80822b8e0ca","2026-09-01 07:01:02.831716+00","","","","keep_inbox_no_conservative_match","no conservative content rule matched","low","true","https://www.threads.net/share/BAXBiWzQWz/"
"ef3d7fd7-9363-4717-9f35-fdf172780a4c","2026-09-01 07:02:08.830798+00","","a7bfa5b1-a5fb-4bd3-9a5b-6cc81e044b4f","codex","owner_review_move_to_existing_collection","content directly mentions Codex","medium","true","https://www.threads.net/share/BAWHQoHzHI/"
"cf496371-944b-4ea7-bd47-c98d341f26c6","2026-09-01 07:03:19.563105+00","","","","keep_inbox_no_conservative_match","no conservative content rule matched","low","true","https://x.com/servasyy_ai/status/2092059961656537546"
"a65a434f-6c1a-448a-9f04-1af6d25445cc","2026-09-01 07:03:47.728463+00","","2f26f840-db76-46a8-884a-8c7515aa17ba","ai圖片+影片","keep_inbox_low_confidence_candidate","content mentions AI visual or video creation","low","true","https://www.threads.net/share/_mwiiDIP9/"
"639ca89d-2734-4e72-969f-4a0955fc70c9","2026-09-01 07:04:36.115966+00","","41cb8bc2-4c62-4ea8-a1bc-7314549bf2ce","ai漫劇","owner_review_move_to_existing_collection","content mentions comic, storyboard, or H3 production","high","true","https://www.threads.net/share/_rQS5FTV7/"
"3cdc49f0-612f-4914-a620-16b63d640b29","2026-09-01 07:04:52.680255+00","","2bbf3989-268f-40dd-8c5c-31c9d5eb34bc","狗狗","owner_review_move_to_existing_collection","content mentions pet or dog care","high","true","https://www.threads.net/share/_q7HkltEs/"
"3acab1f0-aea8-420f-95c8-d58a73eafc25","2026-09-04 01:31:01.683536+00","","aef97ffe-9063-49a6-984c-f71245da76ae","好skill","owner_review_move_to_existing_collection","content mentions a reusable coding skill","high","true","https://www.threads.net/share/BAAKqCDxOU/"
"e1b86e73-e5fd-4f72-a4be-a7149403dd55","2026-09-05 09:34:46.841952+00","","","","keep_inbox_no_conservative_match","no conservative content rule matched","low","true","https://www.threads.net/share/BAaprqtNZl/"
